Jogo,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6
1500,10,18,31,43,57,59
1501,1,7,13,29,37,54
1502,6,22,43,51,52,57
1503,3,4,16,22,36,42
1504,2,10,12,30,41,42
1505,1,2,6,9,16,32
1506,3,14,18,34,42,49
1507,24,46,50,51,52,56
1508,17,18,30,35,39,58
1509,1,6,27,46,51,59
1510,1,8,17,44,46,53
1511,4,8,17,29,31,45
1512,11,28,35,42,46,58
1513,17,28,31,56,57,58
1514,16,17,23,42,59,60
1515,4,13,14,18,49,59
1516,4,18,20,34,45,60
1517,7,17,38,45,52,56
1518,8,9,28,41,48,55
1519,5,6,15,23,56,59
1520,7,31,35,36,46,48
1521,11,14,18,30,33,39
1522,5,8,23,32,33,56
1523,22,25,31,39,41,44
1524,2,12,40,46,52,53
1525,2,26,30,35,46,54
1526,10,16,28,47,51,59
1527,16,32,36,42,44,48
1528,4,13,15,19,36,58
1529,11,15,17,34,35,49
1530,10,16,28,33,48,53
1531,12,13,24,41,42,44
1532,2,11,23,31,42,44
1533,13,21,29,34,47,57
1534,1,12,28,29,34,48
1535,8,9,25,41,54,55
1536,13,18,29,32,50,58
1537,6,10,33,50,51,56
1538,23,27,35,52,53,57
1539,8,10,20,26,49,58
1540,3,17,27,32,47,54
1541,5,24,37,44,49,58
1542,7,11,12,30,39,57
1543,7,15,20,23,30,41
1544,2,21,30,35,45,50
1545,4,6,11,24,45,48
1546,4,17,38,44,53,60
1547,2,9,10,18,21,28
1548,19,41,42,44,47,54
1549,10,12,16,20,32,53
1550,9,13,21,27,36,56
1551,2,15,19,21,23,38
1552,7,18,24,26,39,46
1553,20,21,22,29,46,60
1554,30,32,49,50,52,53
1555,2,5,23,33,52,59
1556,1,4,7,10,11,52
1557,4,16,18,31,45,46
1558,7,15,17,31,42,54
1559,8,12,16,29,37,58
1560,20,30,36,38,47,53
1561,23,26,28,54,55,60
1562,10,12,23,37,47,51
1563,1,6,13,20,36,43
1564,25,38,44,46,53,54
1565,18,37,39,41,43,51
1566,5,6,11,32,36,60
1567,2,15,30,38,48,53
1568,19,24,25,28,42,58
1569,5,15,18,31,42,53
1570,15,18,24,42,46,56
1571,3,29,32,46,55,60
1572,20,27,42,45,46,47
1573,7,16,21,35,36,38
1574,6,27,28,33,46,48
1575,1,4,5,14,45,56
1576,13,15,21,26,30,46
1577,11,14,25,32,51,59
1578,3,6,30,37,53,56
1579,25,34,40,49,51,60
1580,1,6,14,17,33,36
1581,14,15,25,30,31,34
1582,1,4,13,17,38,48
1583,2,9,17,18,45,47
1584,3,22,27,28,50,54
